date;aapl;abt;agn;aig;all;amgn;amzn;axp;ba;bac;biib;bk;bmy;c;cat;celg;cl;cof;cop;cost;csco;cvs;cvx;dd;dhr;dis;dow;duk;emr;exc;f;fdx;gd;ge;gild;hal;hd;hon;ibm;intc;jnj;jpm;ko;lly;lmt;low;mcd;mdt;mmm;mo;mrk;ms;msft;nee;nke;orcl;oxy;pep;pfe;pg;qcom;rtn;sbux;slb;so;spg;t;tgt;twx;txn;unh;unp;usb;utx;vz;wba;wfc;wmt;xom
1998-01-05;20.8360273;2.9708982;11.9357190;2.9550498;2.9753953;1.6231934;11.3316917;2.1400622;3.4053739;4.1207969;14.9780036;3.3684632;3.1097244;5.1792025;5.6804806;39.2184232;2.5207534;3.7392930;2.3151150;12.5228147;17.0542109;1.9869962;3.0540849;4.5612221;1.5285108;2.1846902;1.5344916;2.5668179;2.6422607;6.9362378;2.3422142;1.2340777;2.6715369;2.2970020;18.2184011;12.3233586;3.1119125;4.1424367;2.6397399;4.6725035;1.6559657;1.9841786;2.6919851;3.5047492;0.7404965;1.9047996;1.6502986;4.0703516;6.2021626;2.7345316;2.8646090;3.7665464;3.9674000;2.1547423;8.8766427;5.3939515;3.9299039;4.5490476;3.9996762;5.2494185;12.7713187;1.8978565;7.4492990;4.5886194;6.3667559;7.0807563;2.3637984;1.8418454;3.7540926;11.4001297;1.7073414;2.6079826;1.8641262;1.8772745;3.7239143;5.2515286;5.9986810;5.6604315;3.6840948
1998-01-06;402.5391345;1.8200393;15.1638316;0.9288645;0.8818003;2.0120956;10.8651840;1.9560695;5.1775871;1.9462651;24.7619244;3.8989554;2.7831153;3.5543252;3.0270296;19.4829772;3.0214262;1.3871007;2.8788573;3.6143986;8.3157485;2.5800143;2.5887448;4.0815275;0.4987900;0.8951623;0.9607412;1.9526085;2.9623310;7.2509837;2.0523121;6.3805832;1.5760888;2.7278064;8.1413886;15.8048206;3.0498741;3.1075489;1.8546696;2.1614255;2.6913849;3.2258688;2.2096722;7.1769685;1.0641802;2.4105502;1.8104600;2.7938331;4.0898170;2.3214427;1.9402591;2.1338297;5.9446542;3.2232256;3.8286027;10.2045657;5.7444748;3.5483073;3.3378730;4.7738776;10.7664108;2.3489163;9.6936855;5.1266357;3.1348301;5.3107522;1.1172710;3.0572203;10.6139380;12.2798727;2.6709607;2.7412617;2.6645206;1.7470471;1.8292725;5.3543415;8.0624361;3.6565578;9.4787104
1998-01-07;28.6431663;1.6263667;4.5272900;1.4880095;1.5182301;2.2881226;11.6832547;2.4263807;2.2475550;1.9709469;19.5443491;2.3844867;1.2374464;7.6508657;3.2341136;40.9994252;3.0046234;1.5367727;1.9361237;11.6646742;8.6304068;2.5356901;4.1900754;2.5698052;2.8471473;0.9669802;1.8075290;0.8956480;1.0083438;4.3726292;2.8764375;5.3034820;1.9764112;2.5860496;12.5279177;13.9604973;3.8071680;2.2914595;3.8326674;4.6391395;1.5120156;6.3701378;1.8103011;4.5747962;3.2168346;1.8031525;1.8195935;3.6931216;4.8556812;2.8676524;1.8396460;5.2249643;4.6924185;1.9458599;1.7665639;18.7777159;2.1563031;4.4525102;4.2847364;2.3014676;14.3055048;2.1356102;15.4777986;6.2519324;2.5121774;3.0399302;1.4151174;2.5942105;3.4604750;4.6972565;3.2206860;2.2642970;2.9652521;4.3378646;1.4485046;4.8146819;5.3134284;3.5349675;4.1521283
1998-01-08;22.5707038;1.4566513;7.6453559;1.1339494;2.1924205;2.1347402;8.0847743;1.9362869;3.9687074;1.5113850;15.3304418;3.9163386;0.8429429;4.2502861;4.7750475;53.3189945;1.7643417;2.1812690;2.2373231;13.6652060;12.7330038;2.3105462;2.4720044;6.2442200;2.0830437;1.2873968;1.0881995;2.6423845;1.8943281;5.7615988;4.6705157;2.4758050;1.5483588;2.3670795;7.9178436;9.8909805;2.6841143;4.2681403;4.3664798;4.7093693;2.0684521;4.8153726;1.9271228;3.4097112;2.2738811;3.6932220;1.4474215;2.6111287;2.5493263;3.0856112;2.5168767;2.7614474;4.0174089;1.1404066;3.4697789;10.9957482;1.0730052;2.1159274;4.2892307;3.1794314;18.7082556;3.0060509;17.8445495;6.9438835;5.1110006;2.6605577;0.9508111;3.4209163;3.5686361;15.3411987;0.9905243;1.9813786;1.4501497;1.2372037;1.1351636;4.4539689;2.9232423;3.4407214;3.0261405
1998-01-09;43.4509485;3.6751216;14.1656781;5.9365615;3.3039178;1.9249896;30.3758217;4.3179421;4.7955033;5.7305973;14.4112007;5.4129553;4.5539018;16.9435531;2.5389024;29.8835407;3.5261491;1.6944990;4.2816882;18.7402567;17.8962245;3.7438236;5.7800890;11.0350279;2.7914664;2.3942021;1.6042555;0.6057253;2.7457898;8.1275130;7.6474495;2.4254070;2.1188194;5.9091353;8.9058505;14.4667006;6.2131535;12.6026296;6.7279223;5.6856417;3.0545732;12.4699267;4.6138030;11.3266997;2.2404836;4.3447104;3.0165715;4.7601743;2.2697919;9.1036691;3.6047290;8.4332096;6.4852423;3.1758402;3.3995569;13.5981989;5.1361331;6.2948129;8.6753654;4.3308889;14.4006036;5.5851152;16.7211900;5.6052424;3.3485027;3.6709652;4.1058980;6.7143167;7.7906106;12.9877255;2.0901890;2.3791721;2.7547625;4.8584135;4.9053562;6.2639199;10.3740652;2.3174791;6.7648257
1998-01-12;37.2372987;6.5595994;12.5972239;4.0453360;5.4384163;4.4047832;21.9557623;3.9986931;5.0320467;10.0831459;22.2043773;6.7147255;5.1723847;14.0926017;9.4150848;29.7822587;2.9307636;5.6555796;2.0894971;7.7334031;23.2151790;4.7009516;6.8430221;9.9732833;1.8215326;3.7128668;2.2271635;1.5010626;6.6407621;3.7913062;8.0202231;4.0243067;3.0479198;8.1593197;17.1335768;18.9831528;5.8429708;8.4254283;5.3715792;7.6487107;4.1180142;6.3544898;4.9607092;13.3544844;0.8991773;1.5441921;6.8864904;6.6019170;6.2300505;8.7150805;4.4555191;4.3068223;15.6391029;3.5373903;2.1220266;15.6902954;7.2606136;8.6002222;15.2408278;7.3957273;24.0834340;4.7798180;8.7466054;10.2668477;3.7243328;7.6994579;3.1880964;6.9229719;11.7375770;23.1864942;5.2656998;3.5965569;3.3638958;4.1034912;4.2683668;5.6438950;10.8527125;11.8363641;10.0500828
1998-01-13;8.7977185;2.4446650;5.8861160;2.4672484;3.0621116;4.2564693;12.7341683;1.5526858;4.0638194;5.0507571;19.9972945;2.1136709;2.3111320;3.6448637;4.0378377;18.7317252;1.1642184;3.0785543;2.1098500;5.7705147;7.7957255;1.8875063;2.3124843;4.0450555;1.7223643;1.2449581;3.0570083;0.9435207;2.0592234;4.5975309;3.4249698;1.7529762;1.2373694;2.6857018;15.1507303;9.1322455;2.7600152;4.1764653;3.3004950;2.0798407;2.9175085;2.1342528;2.0179299;3.8257666;0.5704972;2.9246446;1.1273351;7.2263226;1.2658879;1.9656842;0.5505437;3.3775877;3.4127185;1.3893918;3.1345515;7.5928780;1.9250840;4.1785983;1.6582962;2.9578029;8.8812058;1.6644039;4.5901955;3.3542571;4.4844332;2.8050445;0.7099426;4.1644145;4.3999244;10.8724051;0.9243106;2.1008375;2.5960826;2.0265147;2.6283603;5.4520546;6.4731881;3.6221186;2.5642115
1998-01-14;9.9149441;1.0393679;3.6270003;1.9311288;2.9869308;8.0482958;20.7080525;1.1438134;2.2595248;2.7448887;11.1006097;2.8591353;2.8579455;6.1827257;1.8505432;8.4830115;1.4834138;2.2788315;3.3495466;3.0724656;4.6090097;2.5380531;2.1549695;3.7789554;1.1469070;1.9666984;1.5369597;0.8351106;2.6858124;4.6400176;2.9774337;2.2088536;2.0377945;2.7515723;6.6232416;13.1615446;0.8571762;4.5925122;4.5512118;4.6314596;1.0857023;3.9465350;1.4394159;2.7864710;0.9543831;3.5937067;1.9758555;4.7691657;1.4295469;2.6319430;1.5702932;4.0206029;2.5091824;2.0759660;5.3557873;5.9049267;1.5998984;2.4993365;3.4281975;4.5875455;7.0838558;2.4598050;5.0763643;2.9482978;2.7313360;6.5808332;0.9172075;1.5623577;4.0506252;9.3079743;2.2571819;1.5808748;1.7106793;2.3350341;1.5909282;3.4849522;4.6114698;3.3094350;2.0852750
1998-01-15;23.3960259;1.7463111;4.9891496;1.1004907;2.8719588;5.5935318;11.8072884;1.2614539;1.8223727;4.0197361;20.0083716;2.1210437;1.5852661;2.4340271;1.6232295;14.6241473;2.6090439;5.3062906;1.9365045;7.6483018;2.8637562;0.6971717;3.1029312;2.5330866;1.4371458;1.3142732;0.9137502;0.5922076;3.6295749;3.0928689;0.8854382;1.9628797;0.3949526;2.2116101;7.6278390;8.8772361;2.1960107;4.3618903;4.1625458;1.6852337;1.6460426;1.3179014;1.1914934;3.2318312;0.3711781;2.3584291;2.2726884;4.2681400;0.7158071;4.0065313;1.0027859;3.8546738;1.2447981;2.0194638;1.5132345;9.8553623;2.2920601;2.0327395;2.3529102;2.3204170;11.1324807;2.8463800;8.5878808;5.1397348;2.3186895;5.2764428;1.3186477;2.3724485;4.7331270;11.3854095;2.0712067;1.7274734;1.5265470;2.4732751;1.1266085;4.4799315;2.9143884;2.2935802;3.6236433
1998-01-16;11.0165843;1.7214544;6.3689189;1.0624159;2.5674016;2.5474000;17.5430475;1.0836753;5.3273034;1.3431413;28.7672426;2.0479300;1.3876575;1.9479388;5.6132354;31.0738891;1.3519761;3.3872981;1.4164635;5.6374191;1.3755811;0.8111387;1.1006741;2.4046128;1.4725783;1.2458053;0.7202678;1.0260162;2.7506813;4.0092954;1.4875822;5.5880256;0.5291835;1.8353117;7.9948525;6.2564160;1.2589423;3.9615439;0.9222152;1.7286156;2.6240497;2.0256749;0.9651626;3.5022373;0.5147271;4.7055924;1.2004698;5.6245357;2.2089372;6.3701272;0.9073381;2.6311036;0.9612082;1.4927086;1.8352954;5.3301764;1.9731957;3.0021188;1.5872791;2.2739441;16.8055521;1.4122751;4.7168428;3.7581279;3.7561142;5.9856764;0.8946446;2.0472361;3.3185233;6.2486943;4.1186397;0.6525341;0.7330592;1.7787266;0.8456141;4.1781074;2.3162144;1.5381915;2.5178027
1998-01-20;11.1019031;1.8878852;4.5452107;2.0199610;1.2089296;2.0791102;17.7189475;0.9368558;2.7373228;1.6807779;26.8746317;1.6864439;1.5514733;4.9981239;3.7562607;26.6680764;1.2270849;6.2659792;1.6382029;4.6432898;2.4271814;1.0440538;1.0526411;1.8849162;2.5723228;2.0546478;0.6484123;1.0270633;2.9168160;4.0350098;1.1382367;1.0726697;1.1344719;1.4262205;9.8512424;5.2660648;2.5479003;6.9171554;2.9338054;1.2784212;3.8274999;4.4055384;1.4008096;3.6270647;0.9941932;2.2045197;1.5914706;4.7823867;1.1292361;7.2872262;3.4656297;5.4489708;1.4098893;1.0120511;3.4031969;5.8472669;1.7632413;3.0991778;3.1991193;1.9353899;9.1394178;1.7324000;5.8328172;2.1272504;3.3471272;2.5590220;2.3089879;3.0857578;3.5976793;4.3126719;2.0515785;1.1702479;2.1843646;1.8784919;0.8066287;5.2586150;2.1973954;4.6044273;2.8260016
1998-01-21;6.7493112;1.7400433;7.7200606;2.1938138;2.6355317;1.1921615;10.8614826;1.7182307;3.6882377;2.9398650;13.1622303;4.9127467;2.2660010;4.6157843;10.6287621;28.3717481;2.9636007;2.2920832;1.4993163;9.4234342;4.1323663;1.3986792;2.9630719;2.6336202;0.9742473;1.1920033;1.1221280;1.8028905;3.6585587;5.0066069;2.8533303;1.2411332;1.4824773;2.8372500;10.0246108;11.8535276;2.4361528;4.8047921;3.7483582;3.5059914;2.0356057;4.0145323;1.3138707;3.5288544;1.3192932;2.8874434;2.1659044;3.1606364;1.8856505;3.9465048;2.2281990;2.7875949;2.5058521;1.4729739;3.2898531;7.3356056;3.6014336;2.5159267;1.9144238;3.4301277;15.3744578;1.3546165;9.4859519;7.1840102;2.7058621;2.0559203;1.3919752;4.2124371;5.9758439;20.3210013;2.6314237;2.6066404;5.9986127;4.0768349;1.4109163;6.6885079;5.0395520;3.5485803;5.0749790
